"time","dut_turbine.phi","dut_turbine.w","test_bench_ctrl.x","testbench_coupling.phi_rel","testbench_coupling.w_rel","der(dut_turbine.phi)","der(dut_turbine.w)","der(test_bench_ctrl.x)","der(testbench_coupling.phi_rel)","der(testbench_coupling.w_rel)","der(der(tortion_sensor.phi_rel))","der(testbench_inertia.phi)","der(testbench_inertia.w)","der(tortion_sensor.phi_rel)","dut_turbine.a","test_bench_feedback.y","test_bench_speed_sensor.flange.tau","test_bench_torque.tau","testbench_coupling.a_rel","testbench_coupling.lossPower","testbench_coupling.tau","testbench_inertia.a","testbench_inertia.phi","testbench_inertia.w","tortion_sensor.flange_a.tau","tortion_sensor.flange_b.tau","tortion_sensor.phi_rel","dut_torque_ctrl.flange.phi","dut_turbine.flange_a.phi","dut_turbine.flange_a.tau","dut_turbine.flange_b.phi","test_bench_ctrl.u","test_bench_ctrl.y","test_bench_feedback.u2","test_bench_speed_sensor.flange.phi","test_bench_speed_sensor.w","test_bench_torque.flange.phi","test_bench_torque.flange.tau","testbench_coupling.flange_a.phi","testbench_coupling.flange_a.tau","testbench_coupling.flange_b.phi","testbench_coupling.flange_b.tau","testbench_inertia.flange_a.phi","testbench_inertia.flange_a.tau","testbench_inertia.flange_b.phi","testbench_inertia.flange_b.tau","tortion_sensor.flange_a.phi","tortion_sensor.flange_b.phi"
24,21.98653850271737,0.9909444184414432,1.008319662860087,-1.005141834422493,-0.003458924367407594,0.9909444184414432,0.008600758789900853,0.005596657191149212,-0.003458924367407594,0.003285197528565931,-0.003285197528565931,0.9944033428088508,0.005315561261334922,0.003458924367407594,0.008600758789900853,0.005596657191149212,0,1.013916320051236,0.003285197528565931,1.196415777944602e-05,-1.008600758789901,0.005315561261334922,22.99168033713986,0.9944033428088508,0,0,1.005141834422493,21.98653850271737,21.98653850271737,1.008600758789901,21.98653850271737,0.005596657191149212,1.013916320051236,0.9944033428088508,22.99168033713986,0.9944033428088508,22.99168033713986,-1.013916320051236,22.99168033713986,1.008600758789901,21.98653850271737,-1.008600758789901,22.99168033713986,1.013916320051236,22.99168033713986,-1.008600758789901,21.98653850271737,22.99168033713986
24.1,22.08567604994582,0.9918047596342502,1.008852687986598,-1.005471262067528,-0.003130303273676427,0.9918047596342502,0.008601565341204154,0.005064937092073341,-0.003130303273676427,0.003285505603736638,-0.003285505603736638,0.9949350629079267,0.005316059737467516,0.003130303273676427,0.008601565341204154,0.005064937092073341,0,1.013917625078672,0.003285505603736638,9.798798585189357e-06,-1.008601565341204,0.005316059737467516,23.09114731201334,0.9949350629079267,0,0,1.005471262067528,22.08567604994582,22.08567604994582,1.008601565341204,22.08567604994582,0.005064937092073341,1.013917625078672,0.9949350629079267,23.09114731201334,0.9949350629079267,23.09114731201334,-1.013917625078672,23.09114731201334,1.008601565341204,22.08567604994582,-1.008601565341204,23.09114731201334,1.013917625078672,23.09114731201334,-1.008601565341204,22.08567604994582,23.09114731201334
24.2,22.18489957970636,0.9926635553161918,1.009332572985842,-1.005767847307744,-0.002802272512566174,0.9926635553161918,0.008570119820310307,0.004534172171242079,-0.002802272512566174,0.003273494483535977,-0.003273494483535977,0.9954658278287579,0.00529662533677433,0.002802272512566174,0.008570119820310307,0.004534172171242079,0,1.013866745157085,0.003273494483535977,7.852731234683936e-06,-1.00857011982031,0.00529662533677433,23.1906674270141,0.9954658278287579,0,0,1.005767847307744,22.18489957970636,22.18489957970636,1.00857011982031,22.18489957970636,0.004534172171242079,1.013866745157085,0.9954658278287579,23.1906674270141,0.9954658278287579,23.1906674270141,-1.013866745157085,23.1906674270141,1.00857011982031,22.18489957970636,-1.00857011982031,23.1906674270141,1.013866745157085,23.1906674270141,-1.00857011982031,22.18489957970636,23.1906674270141
24.3,22.28420875280439,0.9935176635582603,1.009759527491603,-1.006031719703946,-0.002476032194168646,0.9935176635582603,0.008507751898114257,0.00400630424757098,-0.002476032194168646,0.003249672057054731,-0.003249672057054731,0.995993695752429,0.005258079841059526,0.002476032194168646,0.008507751898114257,0.00400630424757098,0,1.013765831739174,0.003249672057054731,6.130735426559602e-06,-1.008507751898114,0.005258079841059526,23.29024047250833,0.995993695752429,0,0,1.006031719703946,22.28420875280439,22.28420875280439,1.008507751898114,22.28420875280439,0.00400630424757098,1.013765831739174,0.995993695752429,23.29024047250833,0.995993695752429,23.29024047250833,-1.013765831739174,23.29024047250833,1.008507751898114,22.28420875280439,-1.008507751898114,23.29024047250833,1.013765831739174,23.29024047250833,-1.008507751898114,22.28420875280439,23.29024047250833
24.4,22.38360298907295,0.9943640302048761,1.010133910066793,-1.0062631008602,-0.002152748902107601,0.9943640302048761,0.008415849762307248,0.003483220893016337,-0.002152748902107601,0.003214568564805287,-0.003214568564805287,0.9965167791069837,0.005201281197501961,0.002152748902107601,0.008415849762307248,0.003483220893016337,0,1.013617130959809,0.003214568564805287,4.634327835525481e-06,-1.008415849762307,0.005201281197501961,23.38986608993315,0.9965167791069837,0,0,1.0062631008602,22.38360298907295,22.38360298907295,1.008415849762307,22.38360298907295,0.003483220893016337,1.013617130959809,0.9965167791069837,23.38986608993315,0.9965167791069837,23.38986608993315,-1.013617130959809,23.38986608993315,1.008415849762307,22.38360298907295,-1.008415849762307,23.38986608993315,1.013617130959809,23.38986608993315,-1.008415849762307,22.38360298907295,23.38986608993315
24.5,22.48308135154075,0.9951997891130203,1.010456299791499,-1.006462348667683,-0.001833517405599931,0.9951997891130203,0.008295866073282809,0.00296669348137979,-0.001833517405599931,0.003168738873686738,-0.003168738873686738,0.9970333065186202,0.005127127199596071,0.001833517405599931,0.008295866073282809,0.00296669348137979,0,1.013422993272879,0.003168738873686738,3.361786076637901e-06,-1.008295866073283,0.005127127199596071,23.48954370020844,0.9970333065186202,0,0,1.006462348667683,22.48308135154075,22.48308135154075,1.008295866073283,22.48308135154075,0.00296669348137979,1.013422993272879,0.9970333065186202,23.48954370020844,0.9970333065186202,23.48954370020844,-1.013422993272879,23.48954370020844,1.008295866073283,22.48308135154075,-1.008295866073283,23.48954370020844,1.013422993272879,23.48954370020844,-1.008295866073283,22.48308135154075,23.48954370020844
24.6,22.58264262203819,0.9960222243526693,1.010727449535961,-1.006629928425792,-0.001519375097603458,0.9960222243526693,0.00814930352339549,0.002458400549727235,-0.001519375097603458,0.003112756961102692,-0.003112756961102692,0.9975415994502728,0.005036546562292799,0.001519375097603458,0.00814930352339549,0.002458400549727235,0,1.013185850085688,0.003112756961102692,2.308500687217518e-06,-1.008149303523395,0.005036546562292799,23.58927255046398,0.9975415994502728,0,0,1.006629928425792,22.58264262203819,22.58264262203819,1.008149303523395,22.58264262203819,0.002458400549727235,1.013185850085688,0.9975415994502728,23.58927255046398,0.9975415994502728,23.58927255046398,-1.013185850085688,23.58927255046398,1.008149303523395,22.58264262203819,-1.008149303523395,23.58927255046398,1.013185850085688,23.58927255046398,-1.008149303523395,22.58264262203819,23.58927255046398
24.7,22.68228537200996,0.9968287209068595,1.010948242195893,-1.006766385794087,-0.001211320825717363,0.9968287209068595,0.00797770661980457,0.001959958267423123,-0.001211320825717363,0.003047212776293051,-0.003047212776293051,0.9980400417325769,0.004930493843511519,0.001211320825717363,0.00797770661980457,0.001959958267423123,0,1.012908200463316,0.003047212776293051,1.467298142816595e-06,-1.007977706619805,0.004930493843511519,23.68905175780404,0.9980400417325769,0,0,1.006766385794087,22.68228537200996,22.68228537200996,1.007977706619805,22.68228537200996,0.001959958267423123,1.012908200463316,0.9980400417325769,23.68905175780404,0.9980400417325769,23.68905175780404,-1.012908200463316,23.68905175780404,1.007977706619805,22.68228537200996,-1.007977706619805,23.68905175780404,1.012908200463316,23.68905175780404,-1.007977706619805,22.68228537200996,23.68905175780404
24.8,22.78200786897554,0.9976168724359745,1.011119748503148,-1.006872382521248,-0.0009102737298859538,0.9976168724359745,0.007782656251133613,0.001472853834139531,-0.0009102737298859538,0.002972710164979686,-0.002972710164979686,0.9985271461658605,0.004809946086153927,0.0009102737298859538,0.007782656251133613,0.001472853834139531,0,1.012592602337288,0.002972710164979686,8.285982633204864e-07,-1.007782656251134,0.004809946086153927,23.78888025149679,0.9985271461658605,0,0,1.006872382521248,22.78200786897554,22.78200786897554,1.007782656251134,22.78200786897554,0.001472853834139531,1.012592602337288,0.9985271461658605,23.78888025149679,0.9985271461658605,23.78888025149679,-1.012592602337288,23.78888025149679,1.007782656251134,22.78200786897554,-1.007782656251134,23.78888025149679,1.012592602337288,23.78888025149679,-1.007782656251134,22.78200786897554,23.78888025149679
24.9,22.88180815021673,0.9983844306793924,1.011243181484287,-1.006948668298917,-0.0006170925692505878,0.9983844306793924,0.007565760868167182,0.0009984767513570025,-0.0006170925692505878,0.002889863500690648,-0.002889863500690648,0.999001523248643,0.004675897367476534,0.0006170925692505878,0.007565760868167182,0.0009984767513570025,0,1.012241658235644,0.002889863500690648,3.808032390242915e-07,-1.007565760868167,0.004675897367476534,23.88875681851565,0.999001523248643,0,0,1.006948668298917,22.88180815021673,22.88180815021673,1.007565760868167,22.88180815021673,0.0009984767513570025,1.012241658235644,0.999001523248643,23.88875681851565,0.999001523248643,23.88875681851565,-1.012241658235644,23.88875681851565,1.007565760868167,22.88180815021673,-1.007565760868167,23.88875681851565,1.012241658235644,23.88875681851565,-1.007565760868167,22.88180815021673,23.88875681851565
